"NAME","DP03_0062E","state","county",
"Parker County, Texas","68882","48","367",
"Potter County, Texas","38324","48","375",
"Randall County, Texas","65749","48","381",
"Rockwall County, Texas","80407","48","397",
"San Patricio County, Texas","53877","48","409",
"Smith County, Texas","43958","48","423",
"Tarrant County, Texas","58099","48","439",
"Taylor County, Texas","45907","48","441",
"Tom Green County, Texas","44959","48","451",
"Travis County, Texas","61787","48","453",
"Victoria County, Texas","50245","48","469",
"Walker County, Texas","38483","48","471",
"Webb County, Texas","38312","48","479",
"Wichita County, Texas","42996","48","485",
"Williamson County, Texas","72453","48","491",
"Cache County, Utah","51556","49","005",
"Davis County, Utah","70440","49","011",
"Salt Lake County, Utah","62672","49","035",
"Utah County, Utah","60944","49","049",
"Washington County, Utah","49981","49","053",
"Weber County, Utah","59604","49","057",
"Chittenden County, Vermont","62004","50","007",
"Albemarle County, Virginia","64722","51","003",
"Arlington County, Virginia","109266","51","013",
"Augusta County, Virginia","58322","51","015",
"Bedford County, Virginia","56996","51","019",
"Chesterfield County, Virginia","72878","51","041",
"Fairfax County, Virginia","110674","51","059",
"Fauquier County, Virginia","91987","51","061",
"Frederick County, Virginia","66167","51","069",
"Hanover County, Virginia","83756","51","085",
"Henrico County, Virginia","62460","51","087",
"James City County, Virginia","72622","51","095",
"Loudoun County, Virginia","122294","51","107",
"Montgomery County, Virginia","42052","51","121",
"Prince William County, Virginia","92104","51","153",
"Roanoke County, Virginia","62091","51","161",
"Rockingham County, Virginia","56112","51","165",
"Spotsylvania County, Virginia","75686","51","177",
"Stafford County, Virginia","93422","51","179",
"York County, Virginia","81636","51","199",
"Alexandria city, Virginia","86809","51","510",
"Chesapeake city, Virginia","66712","51","550",
"Hampton city, Virginia","47312","51","650",
"Lynchburg city, Virginia","40594","51","680",
"Newport News city, Virginia","49602","51","700",
"Norfolk city, Virginia","43186","51","710",
"Portsmouth city, Virginia","44905","51","740",
"Richmond city, Virginia","43054","51","760",
"Roanoke city, Virginia","41697","51","770",
"Suffolk city, Virginia","62079","51","800",
"Virginia Beach city, Virginia","68816","51","810",
"Benton County, Washington","58093","53","005",
"Chelan County, Washington","50177","53","007",
"Clallam County, Washington","46469","53","009",
"Clark County, Washington","61741","53","011",
"Cowlitz County, Washington","42223","53","015",
"Franklin County, Washington","57890","53","021",
"Grant County, Washington","51949","53","025",
"Grays Harbor County, Washington","43356","53","027",
"Island County, Washington","59934","53","029",
"King County, Washington","75834","53","033",
"Kitsap County, Washington","61794","53","035",
"Lewis County, Washington","43575","53","041",
"Pierce County, Washington","60496","53","053",
"Skagit County, Washington","50558","53","057",
"Snohomish County, Washington","71984","53","061",
"Spokane County, Washington","50249","53","063",
"Thurston County, Washington","61609","53","067",
"Whatcom County, Washington","53665","53","073",
"Yakima County, Washington","44648","53","077",
"Berkeley County, West Virginia","58754","54","003",
"Cabell County, West Virginia","34046","54","011",
"Harrison County, West Virginia","41333","54","033",
"Kanawha County, West Virginia","44186","54","039",
"Monongalia County, West Virginia","41955","54","061",
"Raleigh County, West Virginia","40561","54","081",
"Wood County, West Virginia","42014","54","107",
"Brown County, Wisconsin","53392","55","009",
"Dane County, Wisconsin","61582","55","025",
"Dodge County, Wisconsin","53139","55","027",
"Eau Claire County, Wisconsin","47043","55","035",
"Fond du Lac County, Wisconsin","51717","55","039",
"Jefferson County, Wisconsin","55675","55","055",
"Kenosha County, Wisconsin","52787","55","059",
"La Crosse County, Wisconsin","48872","55","063",
"Manitowoc County, Wisconsin","45136","55","071",
"Marathon County, Wisconsin","53300","55","073",
"Milwaukee County, Wisconsin","42765","55","079",
"Outagamie County, Wisconsin","58118","55","087",
"Ozaukee County, Wisconsin","72103","55","089",
"Portage County, Wisconsin","51399","55","097",
"Racine County, Wisconsin","54525","55","101",
"Rock County, Wisconsin","50610","55","105",
"St. Croix County, Wisconsin","76024","55","109",
"Sheboygan County, Wisconsin","54042","55","117",
"Walworth County, Wisconsin","52277","55","127",
"Washington County, Wisconsin","68424","55","131",
"Waukesha County, Wisconsin","76053","55","133",
"Winnebago County, Wisconsin","52387","55","139",
"Wood County, Wisconsin","50831","55","141",
"Laramie County, Wyoming","57551","56","021",
"Natrona County, Wyoming","56392","56","025",
"Arecibo Municipio, Puerto Rico","16325","72","013",
"Bayamón Municipio, Puerto Rico","25271","72","021",
"Caguas Municipio, Puerto Rico","24145","72","025",
"Carolina Municipio, Puerto Rico","28792","72","031",
"Guaynabo Municipio, Puerto Rico","32064","72","061",
"Mayagüez Municipio, Puerto Rico","14108","72","097",
"Ponce Municipio, Puerto Rico","15935","72","113",
"San Juan Municipio, Puerto Rico","20234","72","127",
"Toa Alta Municipio, Puerto Rico","29341","72","135",
"Toa Baja Municipio, Puerto Rico","22166","72","137",
"Trujillo Alto Municipio, Puerto Rico","25972","72","139"
