,NAME,income 75K-end,S0601_C01_046E.1,income 50-65K,Health Support,Architectural engineering,Community and Social,Life/Social/Physical science,income 10-15K,Production Occupation,income 15-25K,Fire Fighting,income 65-75K,Construcation & Extraction,income 35-50K,educational attainment,income 25-35K,Transportation,income 0-10K,Computer engineer/science,Sales,Health Technical,Personal care and service,median income,Management income,Health Diagnosing,Busineess Finance Operations,Computer and Math,Office Administrative,"Installation, maintenance, repair",Education,Material Moving,"Arts,sports,design",Building/Grounds Maintenance,"Farming, fishing, forestry",Law Enforcement,Legal,Food Service,state,county,Unnamed: 40
425,"Morris County, New Jersey",27.7,27.7,9.4,24515,82735,48264,87394,6,46607,10.7,11929,3.9,35421,9.6,28.7,7.7,30810,12.4,100074,39700,36215,17016,55271,107094,72355,90901,102373,38659,61244,51864,23338,45110,29512,7340,125190,127481,16197,34,27,
426,"Ocean County, New Jersey",14.5,14.5,9.7,21148,79750,48278,77165,8,41286,15.3,45444,4.4,41953,11.9,19,10.7,45443,14.4,75807,32057,41616,13966,37257,76414,71914,60053,68636,30999,59304,48323,24034,27382,19764,45763,76257,49309,13108,34,29,
427,"Passaic County, New Jersey",11.9,11.9,7.4,21779,105021,50427,54933,8.8,31863,13.6,32900,4,36570,9,18.9,9.3,30088,15.8,80765,25773,42377,16343,33276,78886,84096,62057,75811,32972,41244,41290,21925,46679,24950,-666666666,81325,87164,13622,34,31,
428,"Salem County, New Jersey",13.2,13.2,10.4,18994,65512,43897,75129,7.3,34869,12.9,61938,4.6,60638,13.1,14,9.6,35300,16,65576,27931,36795,20026,40642,71901,69574,48535,65580,35208,62259,50651,29969,21601,23362,21512,85697,62639,11875,34,33,
429,"Somerset County, New Jersey",26.5,26.5,9.9,27515,91043,51550,87227,5.6,28162,10.3,10105,3.9,35407,9.5,29,8.9,31863,12.7,91562,40780,33118,21195,53548,105063,81763,78198,95357,40303,45711,51402,17116,35209,21726,16323,69004,108721,20482,34,35,
430,"Sussex County, New Jersey",20.8,20.8,9.9,25325,82030,65718,80512,7.1,41456,12.8,26250,5.5,47661,10.4,22.7,9,41619,13.3,73067,32007,38527,16603,45271,105191,70994,59459,70500,35722,50949,51100,26712,57293,35545,35021,98726,95078,12513,34,37,
431,"Union County, New Jersey",16.2,16.2,8.5,30416,74580,38788,83056,7.2,26890,14.7,21924,4.1,31407,10.4,23.7,10,34057,13.8,77226,25608,32449,14082,38517,90619,81067,86754,76925,33445,42152,41767,19598,36656,20637,33704,67047,95781,20298,34,39,
432,"Warren County, New Jersey",18.2,18.2,9.2,21616,80673,36030,81827,6.7,40368,12.8,20212,3,38476,12.1,18.7,11.7,30405,15,86468,36352,32393,26921,40282,87481,80714,65896,91094,36084,52005,52769,12703,37355,16929,25580,100465,65625,8702,34,41,
433,"Bernalillo County, New Mexico",10.8,10.8,7.7,21879,87736,36803,60383,9.1,30974,14.9,24691,3.2,27438,11.7,14.8,10.8,28825,16.8,73596,25316,37435,15755,30560,61377,62409,52073,72475,26901,32163,30560,20417,22274,16491,14734,46373,52342,13614,35,1,
434,"Chaves County, New Mexico",6.4,6.4,5.6,9664,41542,15000,-666666666,8.8,30273,17.9,31233,2.4,26924,10.3,9.6,9.8,39664,21.9,44847,20809,77288,9815,27673,41157,65660,41186,-666666666,24224,20923,42914,51802,-666666666,17666,45347,37381,77424,14117,35,5,
435,"Doña Ana County, New Mexico",7.3,7.3,4.8,16841,61207,31336,24975,11.5,21426,16,26806,1.9,22568,9.9,15,9.8,30672,20.4,40998,23680,21574,11651,23009,47393,62407,36094,41248,21369,36694,31781,21960,26400,12819,11025,60694,37160,11204,35,13,
436,"Lea County, New Mexico",12.1,12.1,6.5,12878,101446,40617,76743,6.7,27171,17.3,51062,3.7,46774,10.7,5.8,7.3,43319,15.6,82077,18529,22201,20968,34938,86349,54198,102099,-666666666,24752,37500,40204,51048,-666666666,24572,16403,42311,28553,15573,35,25,
437,"McKinley County, New Mexico",4.4,4.4,3.6,21057,48843,8920,26797,9.2,13504,14.2,34671,0.8,25409,6.7,4.4,7.7,25279,28.1,49349,16394,45469,13202,20292,36886,62151,41902,70893,19208,21952,31472,16691,45382,8048,-666666666,50823,-666666666,7450,35,31,
438,"Otero County, New Mexico",6.4,6.4,6.9,16769,72167,30425,27206,12.7,65313,16.5,31300,2.5,37880,8.4,5.3,8.3,49219,22.5,69960,19190,21094,16975,21421,59531,59264,52851,54043,18150,31748,29970,21383,55244,14073,-666666666,77855,-666666666,7408,35,35,
439,"Sandoval County, New Mexico",11.9,11.9,8.5,14709,88656,31315,63947,8.1,31971,14.5,31888,4,33500,10.3,14.2,10.1,32753,16.3,81221,30242,34064,16225,33155,61624,81458,66662,81392,29430,38042,42736,9013,50085,17596,22898,56089,51056,10887,35,43,
440,"San Juan County, New Mexico",9.3,9.3,8.2,21219,91130,31470,48871,9,42969,14.5,20275,2.5,38675,11.2,5.5,10.5,45379,18.8,80190,21356,31466,11740,30874,57840,65750,51480,71631,24136,52582,36656,25952,21295,15481,2499,36769,31849,13116,35,45,
441,"Santa Fe County, New Mexico",14.4,14.4,9.5,23523,91197,37168,71271,9.1,30070,13.9,23949,4.3,29080,10.9,10.9,12.4,25433,11.7,72487,23311,37284,18677,32386,55267,70214,46896,52369,27238,26947,41814,12098,36234,24191,6039,37402,61799,18232,35,49,
442,"Valencia County, New Mexico",6.1,6.1,6.3,33100,22424,41834,48016,11.9,30896,14.7,16483,1.5,31263,11,8.5,12.2,32697,20.7,46871,18039,29722,20861,28931,41994,57647,52899,46585,30138,51880,29706,21319,-666666666,18317,11510,27251,-666666666,11041,35,61,
443,"Albany County, New York",12.9,12.9,11.2,26569,84297,44511,59020,8.1,39931,13.3,15430,4.4,36648,11.9,18.9,10.8,33020,18,65980,28656,37272,18028,38114,67038,60636,53294,61664,33089,47487,45687,19516,32495,16970,32684,56895,73223,10789,36,1,
444,"Bronx County, New York",5.9,5.9,5.8,21130,57429,39942,55748,9.8,23051,13.7,30293,2.3,31994,10.5,15.6,8.8,30533,21.3,55354,17327,36347,15855,27443,51405,70288,53019,51080,30478,32098,33936,21509,36240,22116,26932,65989,53441,17794,36,5,
445,"Broome County, New York",8.6,8.6,7.1,24104,73529,35259,44383,9.5,32155,16,6879,3.4,32335,11.9,14,11.7,33654,19.6,62625,17201,31872,15843,30553,58345,47234,47730,57014,26499,42165,41167,21616,21823,13321,12297,70352,69447,11380,36,7,
446,"Cattaraugus County, New York",4.5,4.5,8.2,21560,51154,41416,-666666666,11.3,30374,18.5,60472,2.8,39489,13.1,9.2,11.9,26638,18.3,60198,16792,40105,20133,28554,50250,53564,27369,60772,27090,33204,37537,18570,27632,16145,21377,70357,41908,13944,36,9,
447,"Cayuga County, New York",8.1,8.1,9.6,22516,75966,19972,40724,8.9,36073,15.2,25928,5.2,32135,13.4,11.9,12.1,39188,15.6,62308,20607,45448,8339,33676,58000,61894,42551,61875,29399,41332,40833,33582,19058,20150,20091,68637,36424,8930,36,11,
448,"Chautauqua County, New York",6.1,6.1,7.5,15012,42201,35515,25814,10.7,32532,18.2,46908,3,40453,12.1,11.9,12.1,40180,20.7,55149,22492,24906,13990,27411,45184,56484,39260,60577,25847,42537,41589,23975,15368,17500,20940,70898,151101,11812,36,13,
449,"Chemung County, New York",9.2,9.2,9,14890,74059,41513,51567,9.1,41678,13.9,36263,4.2,31731,12.2,12.7,13.5,30084,14.2,61981,21736,60058,11709,32231,65184,72972,41703,57404,25711,38641,51936,18441,41277,17804,-666666666,72029,-666666666,12099,36,15,
450,"Clinton County, New York",5.5,5.5,8.2,25207,60828,39671,6017,8.3,32448,13.9,50056,3.4,31616,13.1,7.7,12.5,19176,21,39668,15025,40502,25052,30664,50035,51794,49541,51120,22022,32049,57245,14598,27219,15096,25067,63191,-666666666,19025,36,19,
451,"Dutchess County, New York",15.6,15.6,10,29381,90648,41638,41667,7.8,41735,12.1,38667,4.2,50097,11.2,18.6,9.4,41709,17.7,74842,24965,40363,16417,41051,61600,79467,61870,70000,31482,50537,53596,25142,55022,29186,-666666666,77137,62829,14151,36,27,
452,"Erie County, New York",10.8,10.8,9.9,24464,61115,40370,44941,8.7,36582,14.5,34510,4.2,41173,13.7,18.4,11,30864,16.9,61072,26233,39327,18773,36288,59989,61869,50443,61951,30859,41248,42059,22038,32209,20669,27317,68528,53679,11297,36,29,
453,"Jefferson County, New York",7.5,7.5,9.7,20216,52931,39382,46923,7.3,29525,17.5,25087,3.6,35554,12.7,11.1,11.7,30016,20.2,51528,30956,36404,16289,31169,50813,80413,50155,53542,21318,36629,33408,18510,31685,24317,14383,53216,77424,7209,36,45,
454,"Kings County, New York",12.9,12.9,7.8,23191,68750,40213,62180,8.5,25526,12.5,26588,3.5,32890,10,22.2,9.4,30484,16.7,71891,24873,41663,17488,36437,71156,75163,66234,76792,32777,41698,40814,21679,53879,21242,30357,61163,92015,20030,36,47,
455,"Livingston County, New York",6.8,6.8,10,25938,52327,37209,85721,8.9,40396,12.5,31485,3.3,42439,15.3,13.9,10.2,41502,20.9,50409,31250,30701,28958,36883,47364,61302,50024,29701,31472,41917,50203,30332,36081,20195,9801,74167,40068,6789,36,51,
456,"Madison County, New York",9.8,9.8,9.8,29704,62883,50254,39583,6.4,33079,11.7,2499,3,42350,13.3,13,12.4,43810,18.6,62917,41731,37111,11887,36762,55009,57000,46258,72457,29747,42209,43474,40251,26224,30364,16544,70363,81582,7847,36,53,
457,"Monroe County, New York",11.7,11.7,9.4,23768,65479,40076,58713,8.7,32207,14.2,27808,3.6,42239,13.5,21.3,12.4,30036,17.3,66399,25885,36187,16859,35271,63912,56505,53292,69136,28243,40047,42345,18125,36328,17678,2499,70100,76135,12393,36,55,
458,"Nassau County, New York",23.6,23.6,8.9,29272,78945,50382,65858,6.1,37595,10.8,41356,4.1,51333,10.3,25.6,8.9,39949,13.1,80313,38033,49837,16132,50002,90051,86368,80021,81818,37227,60160,52636,26933,50586,21917,17280,97386,101542,16411,36,59,
459,"New York County, New York",28.8,28.8,8.4,21333,75041,50273,57223,6.7,24282,9.6,25349,4.1,26878,8.4,32.3,6.7,29160,14.2,85004,62284,41862,21006,60034,101696,82261,95901,100290,37019,50010,55633,21194,55486,17071,10656,76030,151352,20951,36,61,
460,"Niagara County, New York",8.6,8.6,8.2,25807,61023,40859,56563,9.9,40171,15.8,24228,4.1,42270,14.5,12.1,12.3,24131,16.3,55477,20854,36169,17437,33292,61883,69638,46758,41826,30542,50723,43627,30333,15583,19601,14066,71401,37067,12759,36,63,
461,"Oneida County, New York",8.3,8.3,8.7,19614,67029,34208,39490,10.3,31705,14.6,55951,2.9,39289,13.9,13.9,11.8,30141,17.6,60758,25638,40323,15983,31871,50689,61380,42878,56045,27588,41129,33750,18470,21617,24391,12550,61527,84432,11190,36,65,
462,"Onondaga County, New York",11.8,11.8,9.4,27624,77797,38102,62332,8.3,30679,13.5,24298,5.3,32397,12.7,20.5,11.2,41599,15.9,69926,32331,41157,13401,37674,66054,67160,54764,65658,30906,48878,45114,16912,27202,21243,17096,67414,77355,12450,36,67,
463,"Ontario County, New York",11.5,11.5,10.3,29375,70783,31781,-666666666,7.9,32299,14.6,30450,4.3,42109,13.7,15.4,13.1,27399,16.5,56723,21901,40561,14886,36056,66280,62036,52454,54884,29637,42574,57973,23535,31258,18409,4721,77987,62156,8801,36,69,
464,"Orange County, New York",16.7,16.7,8.7,27362,75952,45326,42155,7.5,31795,12.1,56529,4.2,52103,10.6,16.5,10.3,40799,13.4,76064,31280,49167,19047,40513,66626,80321,56696,80875,30068,52953,56474,26859,51003,26687,35370,94645,73724,15648,36,71,
465,"Oswego County, New York",6.9,6.9,8.1,19889,71882,37571,45302,8.6,38727,17.1,21622,3.1,35136,13.8,10.2,12.3,40455,21,56779,18663,29418,13152,31176,44943,60442,42041,45752,35046,45016,26596,28310,20496,19408,53346,61761,41757,10704,36,75,
466,"Putnam County, New York",23,23,9.1,17927,81290,47425,75357,5.8,56115,11.8,82379,4.1,40182,10.6,20.8,10.9,40189,12.8,81381,24170,77317,11262,45853,85840,72448,77204,81586,36283,49114,80117,50461,30063,30501,-666666666,97708,121630,20398,36,79,
467,"Queens County, New York",11.8,11.8,8.5,23905,76430,42135,50931,7.8,25757,13.7,37232,3.7,32214,11.2,24.2,10.1,31264,15,71287,25594,42127,17401,36033,61658,75615,60640,75675,35574,45725,42405,25348,45468,22217,25557,64605,73876,21872,36,81,
468,"Rensselaer County, New York",12.4,12.4,11.3,24859,62643,60899,52052,8.1,41106,13.7,26660,5.3,50488,13.9,14.1,11.1,41646,14.9,62100,21173,41069,17314,40056,61726,58750,55278,62344,35023,51345,36331,35404,30204,22211,31205,56798,110828,9804,36,83,
469,"Richmond County, New York",17.5,17.5,8.1,21381,75852,41902,70948,6.9,40740,9.9,57319,4.2,45181,10.7,18.1,8.1,45985,13.8,71443,30176,45112,16567,46301,75830,76923,66276,67484,35665,52661,52814,43536,33238,38357,-666666666,82859,85677,19216,36,85,
470,"Rockland County, New York",20.4,20.4,9.1,27680,77159,41250,65209,7.1,39224,11.6,50072,3.6,55309,10.3,21.1,7.6,40547,14.9,76793,25633,53972,18682,42177,85525,80874,62265,81423,30446,46618,32039,18212,41596,25621,220536,97089,66606,13204,36,87,
471,"St. Lawrence County, New York",5.7,5.7,7.7,24106,62440,41316,2499,9.8,30557,14.2,39141,3.4,31967,12.2,11.2,10.1,21765,22.7,54727,26302,32181,11004,30145,50930,64746,40390,60574,27126,41914,38529,25965,38147,13165,22264,71002,75777,13546,36,89,
472,"Saratoga County, New York",19,19,10.9,27464,86716,49470,61832,6.8,45364,12.9,21558,5,40021,12,21.7,10.9,40630,13.2,85338,33818,45692,15104,45657,81634,57141,57134,75811,33076,42382,49871,31489,23600,27007,31166,87174,108393,10978,36,91,
473,"Schenectady County, New York",12.5,12.5,9.7,21139,80678,46339,65417,9.3,39287,12.4,31176,4.4,42053,13.9,19.7,9.6,28933,17.4,71507,24954,37042,14161,36927,56863,71570,51200,78842,35791,41608,27433,26392,50257,17530,-666666666,66856,80611,11481,36,93,
474,"Steuben County, New York",8.3,8.3,9,14923,97181,37257,81936,11.3,35908,15.9,29886,2.6,35833,13.1,12.3,11.1,27247,16.8,80746,26035,27450,12198,32421,57330,61304,51695,60819,30478,36180,44643,30268,32226,20544,8950,50486,42460,14651,36,101,
475,"Suffolk County, New York",20.4,20.4,8.6,30726,80542,51124,61996,7.1,38827,11.5,36740,4,46382,10.9,20,9.8,36248,13.4,76068,31984,46333,15332,42931,82388,80748,72025,76331,34861,52282,62117,28834,41483,23505,33364,100455,76649,15552,36,103,
476,"Sullivan County, New York",9.7,9.7,8.9,17578,86472,26349,21547,9,37252,15.5,60650,4.1,43962,11,9.7,9.9,25747,18,62188,20837,55463,18230,34761,66241,75402,38250,100183,30593,46987,57986,19420,35536,13488,20688,61380,69097,17903,36,105,
477,"Tompkins County, New York",11.5,11.5,9.1,25984,51446,44473,40875,7.2,40157,11.1,14018,3.1,28452,9.6,20,9,23687,23.1,41944,21309,23732,4611,32034,55447,67301,62127,45037,30799,60088,39701,30625,31571,20107,37257,-666666666,51808,15461,36,109,
478,"Ulster County, New York",11.6,11.6,8.3,18452,71694,41487,46458,9.7,38860,13.5,31667,5.1,35608,11.5,15.8,11.2,35053,16,66938,21991,31082,18139,34359,58170,64834,49107,69327,30371,44822,55709,24036,41545,27203,37707,65743,62204,13748,36,111,
479,"Warren County, New York",10.3,10.3,10.6,30908,80959,41244,37214,9.2,31398,16.1,3650,2.8,48902,13,11.7,11.2,24690,17.9,63438,26146,66574,18757,31494,49198,62143,41000,61567,26650,40195,22537,35917,31497,13421,-666666666,41978,60307,13222,36,113,
480,"Wayne County, New York",8.4,8.4,9.5,26743,56094,38113,105294,8.9,33557,16.3,23929,2.3,33162,13.6,10.6,15.5,22224,15.6,75771,26208,32314,12350,32733,55207,51214,45161,76667,30692,34211,41477,17465,41567,15239,26061,97066,51007,10517,36,117,
481,"Westchester County, New York",23.3,23.3,8.1,27773,81912,50350,80337,6.6,30664,10.4,29838,3.9,40164,9.3,26.2,8.6,26620,14.1,84026,41306,46117,17038,48186,100368,88456,80436,86168,36471,50251,53910,30378,46288,19321,16636,101063,141350,19328,36,119,
482,"Alamance County, North Carolina",6.8,6.8,7.3,21875,66997,45296,51340,11.1,25968,18.3,36380,2.3,29470,11,14.5,11.7,30145,18,66651,14110,37658,15254,26525,56130,52413,49799,73190,23923,27299,31303,15074,51488,20309,15506,48984,39709,13826,37,1,
483,"Brunswick County, North Carolina",9.2,9.2,6.9,19154,72500,41014,60531,12.4,16190,17.9,20429,2.9,22051,11.3,13.4,12.6,23333,18.6,64758,23430,32615,11221,25920,40485,50994,31891,66602,25558,34325,30811,24705,45538,14619,9966,55430,21925,9781,37,19,
484,"Buncombe County, North Carolina",7.5,7.5,6.9,20195,51618,39312,61815,13.3,27645,16.7,25874,2.9,30321,13.4,17.4,12.9,33975,15.3,55924,25667,36202,12554,29830,50923,51862,44128,62543,27546,27845,32323,13103,17176,16072,11422,72028,79355,13339,37,21,
485,"Burke County, North Carolina",4.8,4.8,6.7,22015,47344,34072,4417,12.7,25868,16.7,-666666666,1.6,20813,12.9,9.2,13.3,41503,16.5,44176,25994,30878,15404,27292,22397,44296,42127,51055,26963,35280,37096,20636,30161,21398,20339,28888,56661,7843,37,23,
486,"Cabarrus County, North Carolina",11.5,11.5,7.3,20204,70576,35882,245297,9.1,30209,14.3,28095,3.6,30071,14.9,15.9,11.8,41562,14.7,80256,30117,36998,21897,35330,70607,70214,52133,80652,27877,29505,35326,28891,26625,15880,-666666666,61250,46541,7332,37,25,
487,"Caldwell County, North Carolina",3.9,3.9,5.9,23335,61464,25099,-666666666,15.3,25932,18.3,46281,1.6,27417,11.7,8.2,13.6,40317,18.8,62268,17242,28940,10119,26432,60687,38718,36167,84375,25894,38351,31120,21047,31397,12820,8701,35901,31612,11476,37,27,
488,"Carteret County, North Carolina",10.8,10.8,7.7,30463,67122,37684,51193,11.3,35954,15.5,46799,2.5,20273,13.3,18.3,12.2,31907,16.3,62413,21931,35750,18333,31324,39425,83519,50536,69095,25232,50406,40896,21368,18883,11867,18087,45121,77182,14132,37,31,
489,"Catawba County, North Carolina",7,7,7.1,17462,56170,38365,40184,11.4,31376,15.5,26613,2.5,22445,11.9,13.8,13.4,30887,16.8,55129,30457,26371,25650,30447,61546,63889,49250,67053,26107,31436,31271,21350,31894,13283,-666666666,40754,42536,11917,37,35,
490,"Chatham County, North Carolina",16,16,5.3,23411,86250,32710,115992,11.1,19373,16.4,-666666666,2.7,26452,13.4,16.6,12.2,29063,13.8,100424,23898,21852,21942,32035,57413,66537,76306,82417,32261,27159,32866,20030,48802,19282,-666666666,34069,27183,12836,37,37,
491,"Cleveland County, North Carolina",5.1,5.1,6.1,31643,44750,35158,51898,11,26357,17.4,21375,2.4,34587,11,6.5,13.3,50381,18.9,52344,26331,38125,15678,29931,45702,47262,65045,82826,27228,32783,33556,25560,16702,19361,18946,42476,61285,14507,37,45,
492,"Craven County, North Carolina",9.3,9.3,9.1,23246,81719,41016,70679,9.7,26898,16.7,13420,2.9,28938,12.7,14.2,13,45953,17,80026,15592,27299,18750,28836,42113,71992,50896,66670,29507,42489,38803,21640,-666666666,12164,22077,28911,60167,16644,37,49,
493,"Cumberland County, North Carolina",7.8,7.8,6.8,22241,40543,35124,37705,9.7,23794,16.1,41769,2.6,21710,12.1,13.1,12.1,27960,17.7,56383,17312,35336,16129,26668,55463,78176,40381,67054,26021,35610,34107,20361,18750,18355,23250,47722,45031,11399,37,51,
494,"Davidson County, North Carolina",6,6,6.7,21453,55299,30720,74692,10.5,29926,17.3,32335,3.5,25885,14.9,13.3,12.6,31761,16,63212,27416,29632,10330,31479,61661,54734,62106,62927,29004,32406,40485,21826,31115,11779,35608,41502,39589,12755,37,57,
495,"Durham County, North Carolina",12.4,12.4,9.2,19531,71787,35850,55370,7.4,30095,15.2,31278,4,24432,12,22.9,11,17005,15.9,70158,16444,34625,12919,32342,57159,62141,51945,77468,26334,34962,40028,19981,48054,16342,11527,54149,72471,16363,37,63,
496,"Forsyth County, North Carolina",9.7,9.7,7.6,26154,62176,39425,73810,8.6,27538,14.9,28951,2.9,25306,12.8,21.2,12.4,32043,16.7,65413,22944,39785,13000,31674,50539,64211,51589,66429,28681,46180,40146,17967,30697,17615,15608,45798,61528,15356,37,67,
497,"Gaston County, North Carolina",7,7,7,24487,60735,36117,39776,10.8,31243,17.1,60370,2.2,29665,12.3,10.5,11.5,36858,16.2,58218,22255,32492,15858,31597,57246,62265,53798,59549,30650,39247,35219,22486,36592,15990,-666666666,48889,51390,11829,37,71,
498,"Guilford County, North Carolina",9.9,9.9,6.6,17825,71833,41892,47214,9.3,29820,15.8,30479,3,28619,12.5,20.1,12.3,30965,15.5,65977,29148,35238,14317,31418,56903,58811,52344,63093,27970,32487,33595,24615,29720,17892,20384,39333,40892,13842,37,81,
499,"Harnett County, North Carolina",6.5,6.5,8.5,28683,60779,48165,46795,8,30007,14.3,45272,2.8,24620,13.6,10.8,10.8,26890,15.9,65226,20126,25980,16811,30394,42621,56729,50603,70440,25004,32947,32005,24167,24029,13888,30833,36557,41544,11904,37,85,
500,"Henderson County, North Carolina",8.3,8.3,6.8,31989,76648,36343,40710,9.5,31641,17.5,25676,3.5,33181,16.5,14.5,13,51016,13.9,46519,19566,24651,11838,31829,55592,59088,50962,37267,29488,46334,37949,26399,33586,15339,18205,36107,50703,19145,37,89,
501,"Iredell County, North Carolina",9.9,9.9,8.8,24141,56048,39665,45775,8.5,32472,15.3,47555,2.9,35094,13,14.8,11.7,40434,16.3,62784,32917,37144,9633,33276,65321,60040,38702,81900,27289,49071,32403,22139,37188,11444,21672,55258,36016,14107,37,97,
502,"Johnston County, North Carolina",7.6,7.6,9,22731,70408,36460,49393,9.6,27407,15.3,60610,3.1,27001,12.6,12.5,13.5,31452,15,60363,16411,36768,5847,31695,50801,60441,51336,60817,32237,40119,35931,21481,25564,20267,11678,37826,52361,11656,37,101,
503,"Lincoln County, North Carolina",9.8,9.8,7.5,28720,80508,32339,-666666666,11.3,26424,15.7,16436,2.3,19188,10.9,12.9,13.5,43612,17.3,76737,24733,23466,9778,31560,70833,52213,54298,85240,26879,34261,39844,32423,47255,20605,-666666666,60981,-666666666,16543,37,109,
504,"Mecklenburg County, North Carolina",15.2,15.2,8.2,21736,72133,40145,50170,8.2,26942,13.7,31588,3.3,27058,13.1,24,11,30112,14.3,73480,35075,31007,16483,36597,75258,61486,61509,75950,30530,39210,35937,21034,37223,17005,15101,52843,80831,15893,37,119,
505,"Moore County, North Carolina",13.7,13.7,7.4,14673,86797,43649,69228,10.7,35258,12.6,26689,3,14705,12.3,13.3,11.7,52396,15.1,85547,29340,31930,9400,32685,39315,61369,50105,90216,25125,49429,30558,30140,50629,11017,-666666666,54223,140523,19477,37,125,
506,"Nash County, North Carolina",7.4,7.4,7.1,21541,27198,37940,52562,8.8,25959,16.5,51230,2.4,34906,11.7,12.1,12.7,40317,22.2,52940,14038,27414,14609,27166,79424,70914,65129,59087,26582,36121,33926,18750,18347,10156,6169,48445,67269,15313,37,127,
507,"New Hanover County, North Carolina",11.9,11.9,7.6,22745,92030,40284,43132,8.6,35751,14.9,21480,3.5,30956,11.5,22.6,10.6,18760,19.5,70569,21965,38018,11896,31174,70499,67747,51137,70541,21991,38692,31675,17430,36455,17735,-666666666,39101,102361,12359,37,129,
508,"Onslow County, North Carolina",6.4,6.4,7.3,12238,79208,25994,-666666666,9.5,27457,20.1,47603,3.3,21927,11.8,11.6,13.3,24735,15.3,44063,21859,30512,18528,24047,36233,52090,57433,34679,23637,33415,33234,18516,30271,18149,-666666666,41462,61364,11278,37,133,
509,"Orange County, North Carolina",17.9,17.9,5.7,13750,54333,22875,47929,7,35753,13,4324,2.7,30028,11,21.5,9,26503,22.2,62555,27367,50535,6020,32435,80988,88172,61250,84896,22748,28771,29550,16745,23669,17316,9837,32079,79115,10110,37,135,
510,"Pitt County, North Carolina",7.8,7.8,7.8,17255,60616,46184,37269,10.5,31154,14.6,2499,2.3,32927,11.5,19.2,10.5,20087,24.3,52274,13731,34600,14214,30124,50413,57331,50530,52157,27818,31616,37147,27614,19205,8960,18596,36698,46875,11344,37,147,
511,"Randolph County, North Carolina",4.8,4.8,6.6,21554,48063,31799,42326,12.6,26683,16,36070,1.8,22035,14.1,10,15.4,32165,15.2,49299,20890,35476,22236,30556,51076,52614,41193,51545,30494,41494,34223,22770,41771,16203,18706,35609,40574,11209,37,151,
512,"Robeson County, North Carolina",2.6,2.6,5.4,19824,39632,37895,70161,12.8,27047,14.2,14110,1.4,27974,10.5,8.8,10.6,36880,18.8,51604,19183,30895,20747,27340,41890,45802,46421,46410,27025,38750,31448,23590,30539,13183,16809,32359,43838,15164,37,155,
513,"Rockingham County, North Carolina",4.8,4.8,6.5,16855,56215,41734,50337,11.5,27100,18,37147,2.5,36477,12.7,8,12.7,41669,15.7,51825,19565,29580,16006,30628,55632,48442,44287,85163,25512,35058,31303,23043,-666666666,23304,13690,39889,-666666666,12721,37,157,
514,"Rowan County, North Carolina",6,6,6.8,21364,39361,26587,38675,11,27119,18.5,19004,2.2,35227,11.5,12.1,14,35522,16.4,41846,17395,33494,18095,30301,54485,49139,37920,52390,30864,38417,32077,34288,8870,22386,21294,41360,-666666666,12861,37,159,
515,"Rutherford County, North Carolina",4,4,5.9,26250,63613,-666666666,41898,13.8,29856,16.6,-666666666,1.4,32780,12.1,9.2,11.7,34030,19.5,60978,12661,37390,20803,29226,53297,47244,41442,-666666666,31204,30774,31684,17931,-666666666,11368,-666666666,42188,-666666666,8957,37,161,
516,"Surry County, North Carolina",5.2,5.2,6.6,22162,66085,34607,-666666666,11,31720,17.2,-666666666,3.1,35109,11.6,10.9,10.7,36450,16.4,65556,22533,35267,12021,30481,48802,58151,32047,38818,28915,40865,35334,20348,16765,12088,16480,35712,36250,16040,37,171,
517,"Union County, North Carolina",14.5,14.5,8.6,21313,76965,39006,51694,8.2,27884,11.6,16146,4,25633,13.7,17.8,9.4,40674,15.3,80425,39318,46500,12001,39446,80925,56354,68928,81079,29280,36520,31327,21862,28463,20072,30131,51015,85588,9106,37,179,
518,"Wake County, North Carolina",17.5,17.5,9.1,20697,72598,45436,59492,7.1,30780,11.9,30137,3.9,25362,13,31.1,10,29243,14.2,80357,34287,38975,15616,40439,75712,61687,49701,85044,31605,41059,34631,22721,41122,20022,22837,45009,61863,12426,37,183,
519,"Wayne County, North Carolina",5.3,5.3,7.4,28607,47685,40392,-666666666,10,27265,16.4,-666666666,2.5,24780,13.9,12.2,13.4,24879,19,48738,25437,30603,5581,28648,45572,54128,55820,75309,26719,26864,33082,21823,27183,30000,16573,45013,51250,9476,37,191,
520,"Wilkes County, North Carolina",3.8,3.8,7.3,16157,60204,34359,-666666666,10.3,24816,19.6,25462,2.4,32955,11.5,8.3,14.2,37290,16.5,52413,21511,21485,11380,28797,43336,36677,53239,55553,28009,35746,19847,29785,22298,15959,-666666666,33679,72744,6098,37,193,
521,"Wilson County, North Carolina",6.1,6.1,8,22386,61993,29293,50722,11.7,24271,17.2,18114,2.6,35239,12.1,13,11.3,24629,17.2,51621,14272,31596,13705,30572,52433,57039,52373,55240,26692,37203,33356,18829,32453,23219,16347,34583,60680,10657,37,195,
522,"Burleigh County, North Dakota",15.4,15.4,11.7,26729,71909,50063,48859,7.9,60268,10.9,31643,3.8,47050,19.6,24,10.6,41078,13.4,66319,36515,45088,10676,41297,68534,52954,55137,68787,35331,50653,41170,16992,41020,21362,8601,44375,46919,11853,38,15,
