,NAME,income 75K-end,S0601_C01_046E.1,income 50-65K,Health Support,Architectural engineering,Community and Social,Life/Social/Physical science,income 10-15K,Production Occupation,income 15-25K,Fire Fighting,income 65-75K,Construcation & Extraction,income 35-50K,educational attainment,income 25-35K,Transportation,income 0-10K,Computer engineer/science,Sales,Health Technical,Personal care and service,median income,Management income,Health Diagnosing,Busineess Finance Operations,Computer and Math,Office Administrative,"Installation, maintenance, repair",Education,Material Moving,"Arts,sports,design",Building/Grounds Maintenance,"Farming, fishing, forestry",Law Enforcement,Legal,Food Service,state,county,Unnamed: 40
279,"Iberia Parish, Louisiana",9,9,6.3,15578,72956,35352,-666666666,11.7,45864,17.1,54708,3.1,60989,10.3,7.4,9,48681,16,50474,15275,25547,17055,29992,50130,70417,35904,-666666666,29867,36859,24170,18941,50609,9607,76225,51517,-666666666,8900,22,45,
280,"Jefferson Parish, Louisiana",9.7,9.7,8.2,22217,89786,41299,55616,10.2,35803,14.8,29830,3.6,31911,12.1,18,12.9,31716,14.5,73762,23444,31849,20511,32102,52359,65728,56743,63996,28153,40963,37143,24558,31101,19348,38598,40554,64800,13587,22,51,
281,"Lafayette Parish, Louisiana",13.4,13.4,8,16931,82487,34809,54118,7.9,41095,13.5,46967,3.5,33478,9.9,20.3,9.9,31613,19.9,71475,25338,32151,15296,33298,72842,67377,50730,76464,28028,52355,41189,24254,32532,14673,39577,45432,71487,9152,22,55,
282,"Lafourche Parish, Louisiana",11.8,11.8,7.9,20238,80436,34872,-666666666,9.5,51404,13.4,26853,3.4,48668,10.7,11.6,10.8,51730,17.2,44149,15724,31749,10611,35430,69125,54436,72917,33779,25381,51128,41367,31071,40917,10934,110300,49196,47431,9833,22,57,
283,"Livingston Parish, Louisiana",10.6,10.6,8.7,35121,66085,28259,102378,8.8,57420,12.8,55325,4,51754,13.8,14.3,11.3,42584,13.5,73003,31405,22400,5962,39478,66012,60852,50509,50609,29955,55926,40163,13637,43542,18276,-666666666,46142,41472,10383,22,63,
284,"Orleans Parish, Louisiana",10.5,10.5,7,18165,60025,37228,46875,9,31958,14.3,23143,2.6,27218,11.4,17.1,10.4,27938,19.3,52351,21761,36760,18463,31688,56825,62442,50131,52453,26183,37978,41776,17274,31245,13716,26306,41181,86731,16624,22,71,
285,"Ouachita Parish, Louisiana",7.1,7.1,6.8,19383,47083,31563,54120,10.9,25658,13.2,42768,1.7,31152,9.6,14.7,11.6,35142,19.4,50163,25984,31194,14842,30154,49583,54825,40760,42243,26925,49191,42565,18179,19518,13459,26318,46447,37475,10495,22,73,
286,"Rapides Parish, Louisiana",7.7,7.7,5.9,17417,98750,29937,81747,12.2,36760,16.8,22131,3.3,32058,10.9,10.3,11,25634,17.7,46985,19180,41055,12616,28980,60324,65126,56093,41062,21719,27373,40256,26149,21847,17729,19329,41948,46890,10993,22,79,
287,"St. Landry Parish, Louisiana",-999999999,-999999999,-999999999,11198,77347,30991,-666666666,-999999999,25366,-999999999,18941,-999999999,36320,-999999999,9.3,-999999999,18688,-999999999,60859,30482,14480,12188,25951,50424,51694,45050,-666666666,21138,40878,31154,31351,25720,9473,-666666666,70185,-666666666,14037,22,97,
288,"St. Tammany Parish, Louisiana",13.6,13.6,8.5,14347,87347,31258,62160,8.7,31889,13.1,40149,4.4,31281,11.9,20.9,11,42474,15.8,85189,33743,32312,13585,37950,70765,67360,50292,76808,29547,46732,38307,36771,51582,21844,42298,36051,56191,11822,22,103,
